16:25;U26114;Bristol (BRS);easyJet ;A320 (G-EZTR) ;Departed 16:36;Departure
16:35;U27066;Liverpool (LPL);easyJet ;A320 (G-EZWH) ;Departed 17:02;Departure
16:43;HS520;Monte Carlo (MCM);Heli Securite ;NDE ;Scheduled;Departure
16:44;HS521;Monte Carlo (MCM);Heli Securite ;NDE ;Scheduled;Departure
16:44;W25165;Monte Carlo (MCM);Flexflight ;EC3 ;Scheduled;Departure
16:45;W25167;Monte Carlo (MCM);Flexflight ;EC3 ;Scheduled;Departure
16:55;HV5586;Amsterdam (AMS);Transavia ;B738 (PH-HZL) ;Scheduled;Departure
16:55;V72544;Pau (PUF);Volotea ;B712 (EI-FGH) ;Departed 16:56;Departure
17:00;KL1258;Amsterdam (AMS);KLM ;B737 (PH-BGG) ;Departed 17:05;Departure
17:00;U24068;Paris (ORY);easyJet ;A320 (G-EZRV) ;Departed 17:09;Departure
17:00;U24546;Berlin (SXF);easyJet ;A319 (OE-LQS) ;Departed 17:01;Departure
17:00;XK401;Figari (FSC);Air Corsica ;AT75 (F-GRPY) ;Departed 17:04;Departure
17:05;AF6227;Paris (ORY);Air France ;A320 (F-GKXK) ;Departed 17:18;Departure
17:10;A3691;Athens (ATH);Aegean Airlines ;A320 (SX-DVR) ;Departed 17:14;Departure
17:13;HS522;Monte Carlo (MCM);Heli Securite ;NDE ;Scheduled;Departure
17:14;HS523;Monte Carlo (MCM);Heli Securite ;NDE ;Scheduled;Departure
17:14;W25169;Monte Carlo (MCM);Flexflight ;EC3 ;Scheduled;Departure
17:15;U21623;Seville (SVQ);easyJet ;A320 (OE-IJU) ;Scheduled;Departure
17:15;W25171;Monte Carlo (MCM);Flexflight ;EC3 ;Scheduled;Departure
17:13;HS522;Monte Carlo (MCM);Heli Securite ;NDE ;Scheduled;Departure
17:14;HS523;Monte Carlo (MCM);Heli Securite ;NDE ;Scheduled;Departure
17:14;W25169;Monte Carlo (MCM);Flexflight ;EC3 ;Scheduled;Departure
17:15;U21623;Seville (SVQ);easyJet ;A320 (OE-IJU) ;Scheduled;Departure
17:15;W25171;Monte Carlo (MCM);Flexflight ;EC3 ;Scheduled;Departure
17:40;AF6229;Paris (ORY);Air France ;320;Scheduled;Departure
17:40;U28356;London (LGW);EasyJet ;320;Scheduled;Departure
17:43;HS524;Monte Carlo (MCM);Heli Securite ;NDE ;Scheduled;Departure
17:44;HS525;Monte Carlo (MCM);Heli Securite ;NDE ;Scheduled;Departure
17:44;W25173;Monte Carlo (MCM);Flexflight ;EC3 ;Scheduled;Departure
17:45;BA2625;London (LGW);British Airways ;320;Scheduled;Departure
17:45;U21006;Basel (BSL);easyJet ;A319 (OE-LQG) ;Scheduled;Departure
17:45;W25175;Monte Carlo (MCM);Flexflight ;EC3 ;Scheduled;Departure
18:00;SU2473;Moscow (SVO);Aeroflot ;320;Scheduled;Departure
18:00;U26738;Belfast (BFS);EasyJet ;319;Scheduled;Departure
18:05;AF7709;Paris (CDG);Air France ;320;Scheduled;Departure
18:10;A54207;Lyon (LYS);HOP! ;319;Scheduled;Departure
18:13;HS526;Monte Carlo (MCM);Heli Securite ;NDE ;Scheduled;Departure
18:14;HS527;Monte Carlo (MCM);Heli Securite ;NDE ;Scheduled;Departure
18:14;W25177;Monte Carlo (MCM);Flexflight ;EC3 ;Scheduled;Departure
18:15;BA355;London (LHR);British Airways ;A320 (G-EUYA) ;Scheduled;Departure
18:15;TP487;Lisbon (LIS);TAP Portugal ;E90 ;Scheduled;Departure
18:15;W25179;Monte Carlo (MCM);Flexflight ;EC3 ;Scheduled;Departure
18:20;LH2275;Munich (MUC);Lufthansa ;E95 ;Scheduled;Departure
18:20;TK1816;Istanbul (IST);Turkish Airlines ;32S ;Scheduled;Departure
18:40;IB8755;Madrid (MAD);Iberia ;CRK ;Scheduled;Departure
18:44;W25181;Monte Carlo (MCM);Flexflight ;EC3 ;Scheduled;Departure
18:45;U21687;Bordeaux (BOD);EasyJet ;320;Scheduled;Departure
18:45;W25183;Monte Carlo (MCM);Flexflight ;EC3 ;Scheduled;Departure
18:55;U24072;Paris (ORY);EasyJet ;320;Scheduled;Departure
19:00;LH1065;Frankfurt (FRA);Lufthansa ;A320 (D-AIZP) ;Scheduled;Departure
19:00;LX561;Zurich (ZRH);Swiss ;A320 (HB-IJJ) ;Scheduled;Departure
19:10;AF6231;Paris (ORY);Air France ;320;Scheduled;Departure
19:10;W68030;Vilnius (VNO);Wizz Air ;321;Scheduled;Departure
19:14;W25185;Monte Carlo (MCM);Flexflight ;EC3 ;Scheduled;Departure
19:15;W25187;Monte Carlo (MCM);Flexflight ;EC3 ;Scheduled;Departure
19:20;AZ355;Rome (FCO);Alitalia ;32S ;Scheduled;Departure
19:30;U21635;Rome (FCO);EasyJet ;320;Scheduled;Departure
19:35;KL1262;Amsterdam (AMS);Transavia ;B737 (PH-XRY) ;Scheduled;Departure
19:40;LO344;Warsaw (WAW);LOT ;E75 ;Scheduled;Departure
19:44;W25189;Monte Carlo (MCM);Flexflight ;EC3 ;Scheduled;Departure
19:45;W25191;Monte Carlo (MCM);Flexflight ;EC3 ;Scheduled;Departure
20:15;AF6233;Paris (ORY);Air France ;319;Scheduled;Departure
20:30;AF7715;Paris (CDG);Air France ;319;Scheduled;Departure
20:30;D8407;Helsinki (HEL);Norwegian Air International ;7M8 ;Scheduled;Departure
20:30;HV6474;Eindhoven (EIN);Transavia ;73H ;Scheduled;Departure
20:40;BA349;London (LHR);British Airways ;A320 (G-EUYD) ;Scheduled;Departure
20:40;DY1407;Oslo (OSL);Norwegian ;7M8 ;Scheduled;Departure
20:50;AF6235;Paris (ORY);Air France ;320;Scheduled;Departure
20:50;U23998;Paris (CDG);EasyJet ;320;Scheduled;Departure
20:55;LX529;Geneva (GVA);Swiss ;CS3 ;Scheduled;Departure
20:55;U24074;Paris (ORY);EasyJet ;320;Scheduled;Departure
20:55;V72519;Strasbourg (SXB);Volotea ;717;Scheduled;Departure
21:00;XK105;Ajaccio (AJA);Air Corsica ;AT7 ;Scheduled;Departure
21:05;5O5750;Marseille (MRS);ASL Airlines France ;734;Scheduled;Departure
21:10;U27674;Lisbon (LIS);EasyJet ;319;Scheduled;Departure
21:10;XK205;Bastia (BIA);Air Corsica ;AT7 ;Scheduled;Departure
21:20;D83643;Copenhagen (CPH);Norwegian Air International ;73H ;Scheduled;Departure
21:25;U26482;Newcastle (NCL);EasyJet ;319;Scheduled;Departure
21:35;FR1959;Dublin (DUB);Ryanair ;73H ;Scheduled;Departure
21:40;BA357;London (LHR);British Airways ;A319 (G-EUOG) ;Scheduled;Departure
21:45;U21388;Geneva (GVA);EasyJet ;319;Scheduled;Departure
21:50;SN3624;Brussels (BRU);Brussels Airlines ;A319 (OO-SSO) ;Scheduled;Departure
21:55;FR1875;London (STN);Ryanair ;73H ;Scheduled;Departure
21:55;U22126;London (LTN);EasyJet ;319;Scheduled;Departure
21:55;U28360;London (LGW);EasyJet ;319;Scheduled;Departure
22:20;VY1518;Barcelona (BCN);Vueling ;A320 (EC-MAX) ;Scheduled;Departure
3:20;5O5759;Marseille (MRS);ASL Airlines France ;734;Unknown;Arrival
7:35;EW2420;Stuttgart (STR);Eurowings ;A320 (D-ABZK) ;Landed 07:29;Arrival
7:55;AF6200;Paris (ORY);Air France ;A320 (F-HBNJ) ;Landed 07:43;Arrival
7:55;W62263;Budapest (BUD);Wizz Air ;A321 (HA-LXN) ;Landed 07:34;Arrival
8:10;LH2270;Munich (MUC);Air Dolomiti ;E195 (I-ADJU) ;Landed 08:07;Arrival
8:15;XK102;Ajaccio (AJA);Air Corsica ;AT75 (F-GRPJ) ;Landed 08:02;Arrival
8:15;XK202;Bastia (BIA);Air Corsica ;AT75 (F-GRPZ) ;Unknown;Arrival
8:20;W61349;Warsaw (WAW);Wizz Air ;A321 (HA-LXJ) ;Landed 07:56;Arrival
8:30;U24061;Paris (ORY);easyJet ;A320 (G-EZRV) ;Landed 08:18;Arrival
